ID,Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath,Wawa,UStore,Nassau Street,Jadwin Gym,Frist,Street,EQuad,Dillon,RoomID
1,1901,101,TRIPLE,444,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901101
2,1901,102,DOUBLE,335,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901102
3,1901,103,SINGLE,155,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901103
4,1901,104,TRIPLE,404,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901104
5,1901,105,SINGLE,142,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901105
6,1901,201,SINGLE,173,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901201
7,1901,202,DOUBLE,375,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901202
8,1901,203,DOUBLE,345,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901203
9,1901,301,QUAD,556,Upperclass,SLUMS,NO,NONE,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901301
10,1901,401,SINGLE,154,Upperclass,SLUMS,NO,Female,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901401
11,1901,402,SINGLE,186,Upperclass,SLUMS,NO,Female,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901402
12,1901,403,TRIPLE,414,Upperclass,SLUMS,NO,Female,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901403
13,1901,404,SINGLE,190,Upperclass,SLUMS,NO,Female,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901404
14,1901,405,SINGLE,196,Upperclass,SLUMS,NO,Female,NO,0,FloorPlan/Upperclass/1901/0.pdf,7,3,6,16,8,9,17,5,1901405
15,1901,111,SINGLE,122,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901111
16,1901,112,DOUBLE,402,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901112
17,1901,113,SINGLE,194,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901113
18,1901,114,SINGLE,191,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901114
19,1901,115,DOUBLE,380,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901115
20,1901,116,SINGLE,183,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901116
21,1901,117,DOUBLE,370,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901117
22,1901,118,TRIPLE,427,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901118
23,1901,119,DOUBLE,337,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901119
24,1901,212,TRIPLE,378,Upperclass,SLUMS,NO,Female,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901212
25,1901,213,SINGLE,144,Upperclass,SLUMS,NO,Female,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901213
26,1901,214,SINGLE,153,Upperclass,SLUMS,NO,Female,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901214
27,1901,215,DOUBLE,349,Upperclass,SLUMS,NO,Female,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901215
28,1901,311,DOUBLE,363,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901311
29,1901,312,DOUBLE,355,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901312
30,1901,313,DOUBLE,364,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901313
31,1901,314,SINGLE,185,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901314
32,1901,411,TRIPLE,839,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901411
33,1901,413,TRIPLE,459,Upperclass,SLUMS,NO,NONE,NO,1,FloorPlan/Upperclass/1901/1.pdf,7,3,6,16,8,9,17,5,1901413
