ID,Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath,Wawa,UStore,Nassau Street,Jadwin Gym,Frist,Street,EQuad,Dillon,RoomID
1,1967,B111,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0039_1967_HALL_LVL_1.png,7,8,8,10,6,10,13,6,1967B111
2,1967,B112,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0039_1967_HALL_LVL_1.png,7,8,8,10,6,10,13,6,1967B112
3,1967,B113,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0039_1967_HALL_LVL_1.png,7,8,8,10,6,10,13,6,1967B113
4,1967,B114,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0039_1967_HALL_LVL_1.png,7,8,8,10,6,10,13,6,1967B114
5,1967,B202,QUAD,542,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B202
6,1967,B204,QUAD,574,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B204
7,1967,B205,SINGLE,152,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B205
8,1967,B209,SINGLE,148,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B209
9,1967,B211,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B211
10,1967,B212,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B212
11,1967,B213,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B213
12,1967,B214,QUAD,580,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0046_1967_HALL_LVL_2.png,7,8,8,10,6,10,13,6,1967B214
13,1967,B302,QUAD,542,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B302
14,1967,B304,QUAD,574,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B304
15,1967,B305,SINGLE,152,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B305
16,1967,B309,SINGLE,148,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B309
17,1967,B311,QUAD,522,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B311
18,1967,B312,QUAD,522,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B312
19,1967,B313,QUAD,580,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B313
20,1967,B314,QUAD,522,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1967_HALL/0057_1967_HALL_LVL_3.png,7,8,8,10,6,10,13,6,1967B314
21,1976,D104,SINGLE,219,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D104
